id;title;section;html_id;tag;url;parent_id;meta_type;beyondlinks;forwardlinks;backwardlinks;basiclinks;lecturelinks;wiki_ids;wiki_labels;wiki_descriptions;wikipedia_ids;wikipedia_labels;wikipedia_descriptions;dbpedia_ids;dbpedia_labels;dbpedia_descriptions
;JiTT for OS;4.4.2. Positive Feedback;4-4-2;h4;https://oer.gitlab.io/OS/Operating-Systems-JiTT.html;;topic;[];[];[];[];[];['Q918004'];['positive feedback'];['process that occurs in a feedback loop which magnifies a small disturbance'];[213354];['Positive feedback'];"['<span class=""searchmatch"">Positive</span> <span class=""searchmatch"">feedback</span> (exacerbating <span class=""searchmatch"">feedback</span>, self-reinforcing <span class=""searchmatch"">feedback</span>) is a process that occurs in a <span class=""searchmatch"">feedback</span> loop which exacerbates the effects of a small']";;;
1;OS Introduction;OS01: OS Introduction;;h1;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-;;structure;[];[];[];[];[];['Q305178', 'Q10342051'];['introduction', 'Os Ostras'];['beginning section of a written work which states the purpose and goals of the following writing', 'Os Ostras'];[20640];['MacOS'];"['mac<span class=""searchmatch"">OS</span> (/ˌmækoʊˈɛs/; previously <span class=""searchmatch"">OS</span>\xa0X and originally Mac\xa0<span class=""searchmatch"">OS</span>\xa0X) is a Unix operating system developed and marketed by Apple Inc. since 2001. It is the primary']";['United States', 'FC Metallurg-Oskol Stary Oskol'];['United States', 'FC Metallurg-Oskol Stary Oskol'];"[""The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country consisting of 50 states, a federal district, five major self-governing territories, and various possessions. At 3.8 million square miles (9.8 million km2), it is the world's third or fourth-largest country by total area and is slightly smaller than the entire continent of Europe. Most of the country is located in central North America between Canada and Mexico. With an estimated population of over 328 million, the U.S. is the third most populous country in the world. The capital is Washington, D.C., and the most populous city is New York City."", 'FC Metallurg-Oskol Stary Oskol (Russian: ФК «Металлург-Оскол» Старый Оскол) was a Russian football']"
01.1;OS Introduction;1. Introduction;1;h2;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-1;1;structure;[];[];[];[];[];['Q305178'];['introduction'];['beginning section of a written work which states the purpose and goals of the following writing'];[2119394];['Introduction'];"['<span class=""searchmatch"">introduction</span>, intro, or introduce in Wiktionary, the free dictionary. <span class=""searchmatch"">Introduction</span>, The <span class=""searchmatch"">Introduction</span>, Intro, or The Intro may refer to: <span class=""searchmatch"">Introduction</span> (music)']";['United States'];['United States'];"[""The United States of America (USA), commonly known as the United States (U.S. or US) or America, is a country consisting of 50 states, a federal district, five major self-governing territories, and various possessions. At 3.8 million square miles (9.8 million km2), it is the world's third or fourth-largest country by total area and is slightly smaller than the entire continent of Europe. Most of the country is located in central North America between Canada and Mexico. With an estimated population of over 328 million, the U.S. is the third most populous country in the world. The capital is Washington, D.C., and the most populous city is New York City.""]"
01.2;OS Introduction;2. Operating Systems;2;h2;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-2;1;topic;[];[];[];[];[];['Q9135'];['operating system'];['software that manages computer hardware resources'];[22194];['Operating system'];"['machines. Other <span class=""searchmatch"">operating</span> <span class=""searchmatch"">systems</span> used on IBM S/360 series mainframes included <span class=""searchmatch"">systems</span> developed by IBM: DOS/360 (Disk <span class=""searchmatch"">Operating</span> <span class=""searchmatch"">System</span>), TSS/360 (Time']";['Operating system'];['Operating system'];['An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources.']
01.3;OS Introduction;3. Multitasking;3;h2;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-3;1;topic;[];[];[];[];[];['Q192969'];['multitasking'];['concurrent execution of multiple processes over a certain period of time'];[19704896];['Multitasking'];"['Look up <span class=""searchmatch"">multitasking</span> in Wiktionary, the free dictionary. <span class=""searchmatch"">Multitasking</span> may refer to: Computer <span class=""searchmatch"">multitasking</span>, the concurrent execution of multiple tasks']";['IOS'];['IOS'];"[""iOS (formerly iPhone OS) is a mobile operating system created and developed by Apple Inc. exclusively for its hardware. It is the operating system that presently powers many of the company's mobile devices, including the iPhone, and iPod Touch; it also powered the iPad prior to the introduction of iPadOS in 2019. It is the second most popular mobile operating system globally after Android.""]"
01.4;OS Introduction;4. Conclusions;4;h2;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-4;1;structure;[];[];[];[];[];['Q20686268'];['Conclusions'];['album by Altars'];[307907];['Conclusion'];"[' <span class=""searchmatch"">conclusion</span>, or <span class=""searchmatch"">conclusions</span> in Wiktionary, the free dictionary. <span class=""searchmatch"">Conclusion</span> may refer to: <span class=""searchmatch"">Conclusion</span> (music), the ending of a composition <span class=""searchmatch"">Conclusion</span> (album)']";['Conclusions of Utrecht'];['Conclusions of Utrecht'];['The Conclusions of the Synod of Utrecht were the result of a 1905 synod of the Reformed Churches']
01.1.1;OS Introduction;1.1. Learning Objectives;learning-objectives-os;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-learning-objectives-os;01.1;structure;[];[];[];[];['https://oer.gitlab.io/OS/Operating-Systems-Interrupts.html'];['Q77956475'];['Learning objectives for medical student education--guidelines for medical schools: report I of the Medical School Objectives Project'];['scientific article published on 01 January 1999'];[261128];"[""Bloom's taxonomy""]";"['classification of educational <span class=""searchmatch"">learning</span> <span class=""searchmatch"">objectives</span> into levels of complexity and specificity. The three lists cover the <span class=""searchmatch"">learning</span> <span class=""searchmatch"">objectives</span> in cognitive, affective']";;;
01.1.2;OS Introduction;1.2. Recall: Big Picture of CSOS;1-2;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-1-2;01.1;structure;[];[];[];[];[];['Q18733', 'Q478798', 'Q22808416', 'Q339045', 'Q82464'];['recall', 'image', 'Computer System Operating System', 'The Big Picture', 'The Picture of Dorian Gray'];['retrieval of events or information from the past', 'artifact that depicts or records visual perception', 'proprietary operating system for the IBM System 9000 computer', '1989 film directed by Christopher Guest', '1890–1891 novel by Oscar Wilde'];[164910];['Serena Williams'];"['Ohanian after the wedding. On April 19, 2017, Williams posted a sideways <span class=""searchmatch"">picture</span> <span class=""searchmatch"">of</span> herself on Snapchat that focused on her midsection; it had the caption']";['California gubernatorial recall election', 'Picture book', 'CSO Amnéville', 'BigPicture', 'PictureBox Films', 'Estadio Javier Cruz'];['California gubernatorial recall election', 'Picture book', 'CSO Amnéville', 'BigPicture', 'PictureBox Films', 'Estadio Javier Cruz'];"['The 2003 California gubernatorial recall election was a special election permitted under California', 'A picture book combines visual and verbal narratives in a book format, most often aimed at young', 'Club Sportif Orne 1919 Amnéville-les-Thermes is a French association football team founded in 1919. They are based in Amnéville, France and are currently playing in the Championnat National 3, the fifth tier in the French football league system. They play at the  in Amnéville. In the summer of 2017 the club had a controversial dispute with the French Football Federation after being denied promotion for financial reasons. They were eventually admitted to the Championnat National 3 a month into the season, having already played games in the regional league.', 'BigPicture is a project management and portfolio management app for Jira environment. First', 'PictureBox is a video on demand film service offering a selection of films for a monthly', ""Estadio Javier Cruz 'Artes y Oficios' is a multi-purpose stadium. It located at the corner""]"
01.2.1;OS Introduction;2.1. Sample Modern Operating Systems;modern-oss;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-modern-oss;01.2;topic;['https://en.wikipedia.org/wiki/BS2000', 'https://en.wikipedia.org/wiki/General_Comprehensive_Operating_System', 'https://en.wikipedia.org/wiki/Z/OS', 'https://en.wikipedia.org/wiki/MS-DOS', 'https://en.wikipedia.org/wiki/MacOS', 'https://www.redox-os.org', 'https://en.wikipedia.org/wiki/Microsoft_Windows', 'https://en.wikipedia.org/wiki/BlackBerry_10', 'https://en.wikipedia.org/wiki/Google_Fuchsia', 'https://en.wikipedia.org/wiki/Symbian', 'https://en.wikipedia.org/wiki/FreeRTOS', 'https://en.wikipedia.org/wiki/QNX', 'https://en.wikipedia.org/wiki/VxWorks'];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-L4'];[];['https://en.wikipedia.org/wiki/GNU%2FLinux_naming_controversy'];['https://oer.gitlab.io/OS/Operating-Systems-Motivation.html', 'https://oer.gitlab.io/OS/Operating-Systems-Motivation.html#slide-free-software', 'https://oer.gitlab.io/OS/Operating-Systems-Motivation.html#slide-gnu-linux'];['Q485146', 'Q20738981', 'Q9135', 'Q50808462', 'Q6888795', 'Q9135'];['sample', 'Nowoczesna', 'operating system', 'Systems', 'Modern Operating Systems', 'operating system'];['limited quantity of something which is intended to be similar to and represent a larger amount of that thing(s) (could be countable objects such as individual items available as units for sale, or a material not countable as individual items)', 'Liberal political party in Poland', 'software that manages computer hardware resources', 'Academic journal published by MDPI AG , covering the subjects:  Technology: Engineering (General). Civil engineering (General): Systems engineering | Technology: Technology (General)', 'book by Andrew S. Tanenbaum', 'software that manages computer hardware resources'];[11381701];['Usage share of operating systems'];"['The usage share of <span class=""searchmatch"">operating</span> <span class=""searchmatch"">systems</span> is the percentage of computing devices that run each <span class=""searchmatch"">operating</span> <span class=""searchmatch"">system</span> (OS) at any particular time. All such figures']";['Sampling (music)', 'Japan', 'Microsoft Windows', 'Arthropod', 'Operating system'];['Sampling (music)', 'Japan', 'Microsoft Windows', 'Arthropod', 'Operating system'];"['In music, sampling is the reuse of a portion (or sample) of a sound recording in another recording', ""Japan (Japanese: 日本, Nippon [ɲippoꜜɴ] () or Nihon [ɲihoꜜɴ] (); officially 日本国,  or Nihon-koku) is an island country located in East Asia. It is bordered by the Sea of Japan to the west and the Pacific Ocean to the east, and spans more than 3,000 kilometers (1,900 mi) along the coast of the continent from the Sea of Okhotsk in the north to the East China Sea and Philippine Sea in the south. Part of the Pacific Ring of Fire, Japan encompasses a stratovolcanic archipelago of about 6,852 islands, with five main islands (Hokkaido, Honshu, Kyushu, Shikoku, and Okinawa) comprising 97% of the country's total area of 377,975 square kilometers (145,937 sq mi)."", ' operating system families, all of which are developed and marketed by Microsoft. Each family caters', 'An arthropod (, from Greek ἄρθρον arthron, ""joint"" and πούς pous, ""foot"" (gen. ποδός)) is an invertebrate animal having an exoskeleton, a segmented body, and paired jointed appendages. Arthropods form the phylum Euarthropoda, which includes insects, arachnids, myriapods, and crustaceans. The term Arthropoda as originally proposed refers to a proposed grouping of Euarthropods and the phylum Onychophora.', 'An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources.']"
01.2.2;OS Introduction;2.2. Definition of Operating System;os-definition;h3;https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#/slide-os-definition;01.2;topic;[];['https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-API', 'https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-os-boundary', 'https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-kernel', 'https://oer.gitlab.io/OS/Operating-Systems-Introduction.html#slide-system-calls'];[];[];[];['Q101072', 'Q9135', 'Q1', 'Q16743', 'Q9135'];['definition', 'operating system', 'Universe', 'definition of planet', 'operating system'];['statement of the meaning of a word or phrase', 'software that manages computer hardware resources', 'all of the spacetime and its contents including the Earth, possibly being part of a multiverse, distinct from parallel universes if they exist', 'definition of planet', 'software that manages computer hardware resources'];[8476];['Disk operating system'];"['disc. A disk <span class=""searchmatch"">operating</span> <span class=""searchmatch"">system</span> provides a file <span class=""searchmatch"">system</span> for organizing, reading, and writing files on the storage disk. Strictly, this <span class=""searchmatch"">definition</span> does not include']";['High-definition television', 'Microsoft Windows', 'Android (operating system)', 'Operating system'];['High-definition television', 'Microsoft Windows', 'Android (operating system)', 'Operating system'];['High-definition television  (often shortened to High-Definition and HD or High Definition', ' operating system families, all of which are developed and marketed by Microsoft. Each family caters', 'Android is a mobile operating system based on a modified version of the Linux kernel and other open', 'An operating system (OS) is system software that manages computer hardware, software resources, and provides common services for computer programs. Time-sharing operating systems schedule tasks for efficient use of the system and may also include accounting software for cost allocation of processor time, mass storage, printing, and other resources.']
